Metric,Value
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,16
timing__unannotated_net__count__corner:max_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3122941160731544
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2696900001876277
timing__hold__ws__corner:max_ff_n40C_1v95,0.11215156898387611
timing__setup__ws__corner:max_ff_n40C_1v95,10.275270702912193
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.112152
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,13.355357
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,16
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79886
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79965
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00114025
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00111124
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000326025
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00111124
design_powergrid__voltage__worst,0.00111124
design_powergrid__voltage__worst__net:VPWR,1.79886
design_powergrid__drop__worst,0.00114025
design_powergrid__drop__worst__net:VPWR,0.00114025
design_powergrid__voltage__worst__net:VGND,0.00111124
design_powergrid__drop__worst__net:VGND,0.00111124
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00034800000000000000204003480774872514302842319011688232421875
ir__drop__worst,0.0011399999999999999543420781122904372750781476497650146484375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
